name,count,gender
aidina,1,w
aidonia,1,m
aieda,1,w
aiga,1,w
aignéis,1,w
aiisha,1,w
aik,1,m
aika,4,w
aikaterini,1,w
aiko,6,w
aila,7,w
ailada,1,w
ailani,1,w
ailani-philien,1,w
ailee-blue,1,w
aileen,26,w
ailika,1,w
ailin,2,w
ailina,1,w
ailiyah,1,w
ailla,1,w
ailun,1,m
ailyn,1,w
ailín,1,w
aiman,3,m
aiman-aziz,1,m
aimara,1,w
aimee,18,w
aimee-yvaine,1,w
aimeé,1,w
aimie,1,w
aimiede,1,w
aimilia,1,w
aimilos,1,m
aimo,2,m
aimuaemwenosa,1,m
aimuanwonsa,1,m
aimy,2,w
aimé,6,m
aimé-pascal,1,m
aimée,36,w
aina,5,w
ainara,1,w
ainhoa,9,w
aino,17,w
ainoa,3,w
ainu,1,w
aio,1,w
aiori,1,w
aira,1,w
airey,1,m
airi,1,w
airik,1,m
airin,1,w
airini,1,w
airmes,1,m
aisa,2,w
aischa,19,w
aische,1,w
aise,1,w
aisel,1,w
aisha,39,w
aisha-maya,1,w
aishah,1,w
aishanur,1,w
aishat,2,w
aishoola,1,w
aisling,1,w
aislinn,1,w
aisosa,3,w
aissa,2,m
aissata,1,w
aissatou,3,w
aisulu,1,w
aisun,1,w
ait,1,w
aitana,2,w
aito,1,w
aiva,2,w
aiven,2,m
aivi,1,w
aiyana,3,w
aiyara,1,w
aiza,3,w
aizah,1,w
aize,1,w
aizeldin,1,m
aişa,1,w
aişe,3,w
aiša,2,w
aja,3,w
ajaipal,1,m
ajan,15,m
ajana,4,w
ajana-julie,1,w
ajanikka,1,w
ajar,1,w
ajay,3,m
ajdin,15,m
ajduran,1,m
ajelet,1,w
ajendra,1,m
ajet,1,m
ajeta,1,w
ajibade,1,m
ajibola,1,m
ajinde,1,w
ajjub,1,m
ajkuna,1,w
ajla,20,w
ajlan,2,m
ajlin,6,w
ajlina,3,w
ajmal,2,w
ajmal-habib,1,m
ajman,1,m
ajna,5,w
ajrus,1,m
ajsa,1,w
ajscha,1,w
ajshe,1,w
ajsi,1,w
ajsun,1,w
ajtana,1,w
ajubi,1,w
ajuk,1,m
ajun-vijay,1,m
ajwa,1,w
ajybekovič,1,m
ajša,3,w
akacja,1,w
akain,1,m
akan,1,m
akanbi,1,m
akando,2,m
akano,1,w
akash,1,m
akasha,2,w
akasya,2,m
akay,5,m
akbar,9,m
akbari,1,w
akeel,1,m
akeelah,1,w
akeem,3,m
akeksandar,1,m
akel,2,m
akemi,1,w
akeomai,1,m
akhiles,1,m
akhirah,1,w
akhmedovic,1,m
akhmedovna,1,w
akhmet,1,m
aki,12,m
akib,1,m
akiba,1,m
akif,21,m
akiko,4,w
akil,3,m
akili,1,w
akiliano,1,m
akim,10,m
akimasa,1,m
akin,6,m
akinyi,3,w
akio,1,m
akira,16,m
akito,1,m
akiva,3,w
akker,1,m
akmal,1,m
ako,1,w
akomah,1,w
akoni,1,m
akorede,1,w
akosia,1,w
akosua,5,w
akoto,1,w
akouba,1,w
akouessiba,1,w
akowuah,1,m
akoye,1,m
akpako,1,w
akpawerosa,1,m
akpèné,1,w
akram,14,m
akraman,2,m
akrm,1,w
aksa,1,m
aksel,7,m
akshara,1,w
aksu,2,w
aktan,1,m
aktay,1,m
akua,6,w
akuba,1,w
akuchi,1,w
akulina,1,w
akuma,2,m
akuvi,1,w
akwasi,3,m
akwele,1,w
akyra,1,w
akın,5,m
al,26,w
al'yasmin,1,w
al-abedin,1,m
al-abidin,1,m
al-amin,3,m
al-amir,1,m
al-badrai,1,m
al-faruq,1,m
al-hadi,2,m
al-haya,1,w
al-jawad,1,m
al-jawhara,1,w
al-karim,1,m
al-karrar,1,m
al-muthanna,1,m
al-rida,1,m
al-zahraa,1,w
al-zahrae,1,w
ala,3,m
alaa,17,w
alaara,1,w
alabah,1,w
alabden,1,m
aladdin,1,m
alade,1,m
aladin,3,m
alaeddine,1,m
alaena,1,w
alaga,2,m
alai,1,m
alaia,2,w
alain,18,m
alaine,2,w
alakbar,1,m
alake,1,w
alakh,1,m
alama,1,m
alamea,1,w
alameer,1,m
alamin,1,m
alamir,1,m
alan,82,m
alan-noah,1,m
alan-said,1,m
alan-scott,1,m
alana,15,w
aland,3,m
alang,1,m
alani,7,w
alanis,1,w
alanna,4,w
alannah,2,w
alano,1,m
alanur,4,w
alara,42,w
alaric,11,m
alaska,2,w
alaskari,2,m
alassane,2,m
alastair,3,m
alaxander,1,m
alaya,4,w
alayah,1,w
alayna,3,w
alayna-joleen,1,w
alayne,1,w
alba,33,w
alban,10,m
albana,2,w
albaraa,1,m
albatoul,1,w
albatrit,1,m
albatul,1,w
albecht,1,m
albeer,1,m
albekovna,1,w
alben,1,m
albena,3,w
albenova,3,w
albero,1,m
albert,244,m
alberta,4,w
alberte,1,w
albertina,1,w
albertine,8,w
alberto,14,m
albesa,1,w
albetine,1,w
albijana,1,w
albijon,1,m
albin,13,m
albina,6,w
albineta,1,w
albinot,1,m
albion,8,m
albiona,3,w
albjan,1,m
albraa,1,m
albrecht,20,m
albulene,1,w
alcapone,1,m
alchan,1,m
alda,1,w
aldamovna,1,w
aldara,1,w
aldarion,1,m
aldas,1,m
alddin,1,m
aldeen,1,m
alderich,1,m
aldijana,4,w
aldin,5,m
aldina,2,w
aldinov,2,m
aldiyana,1,w
aldo,5,m
aldona,3,w
aldorina,1,w
aldrin,2,m
alea,55,w
aleah,5,w
aleandra,1,w
aleandro,5,m
alec,19,m
alecia,3,w
aleco,1,m
alecs,1,m
aledji,2,w
aleeah,1,w
aleeandra,1,w
aleeke,3,m
aleem,1,m
aleen,5,w
aleena,3,w
aleesa,1,w
aleeza,2,w
alegra,3,w
alegria,1,w
alehandra,2,w
alehandro,5,m
alehhandro,1,m
aleida,2,w
aleina,1,w
aleira,1,w
aleister,1,m
aleix,1,m
aleja,3,w
alejandra,10,w
alejandro,34,m
alejandro-angelo,1,m
alejandro-carlos,1,m
alejna,4,w
alek,2,m
alekandro,1,m
aleke,1,w
aleko,2,m
alekov,2,m
alekova,2,w
aleks,15,m
aleksa,1,m
aleksadar,1,m
aleksadir,1,m
aleksan,1,m
aleksandar,45,m
aleksandarov,1,m
aleksander,56,m
aleksandr,10,m
aleksandra,54,w
aleksandra-maria,1,w
aleksandras,1,m
aleksandrov,6,m
aleksandrova,9,w
aleksandrovich,2,m
aleksandrovič,13,m
aleksandrovna,15,w
aleksandrovč,1,m
aleksanteri,1,m
alekseevič,5,m
alekseevna,2,w
aleksei,1,m
aleksej,9,m
aleksejewitsch,1,m
aleksejewna,1,w
aleksejwitsch,1,m
aleksey,1,m
aleksi,4,m
aleksia,1,w
aleksiev,2,m
aleksieva,3,w
aleksija,1,w
aleksije,1,m
aleksy,1,m
alem,5,m
alemayehu,1,m
alembert,1,m
alemdar,1,m
alen,16,m
alena,57,w
alendra,1,w
alene,1,m
alenia,2,w
alenka,1,w
alensko,1,m
alenya,1,w
alenzio,1,m
aleph,4,m
alera,1,w
alerio,2,m
alerta,1,w
alesandra,2,w
alesandro,2,m
alesia,8,w
alesija,1,w
alesio,1,m
alesja,1,w
alessa,18,w
alessandra,27,w
alessandro,68,m
alessandro-kristijan,1,m
alessandro-leandro,1,m
alessandro-milan,1,m
alessia,74,w
alessia-liliana,1,w
alessia-maria,1,w
alessia-sofia,1,w
alessija,2,w
alessio,94,m
alessio-aaron,1,m
alessio-amaro,1,m
alessio-emilio,1,m
alessio-laith,1,m
alessja,1,w
alessya,4,w
alessyo,1,m
alesya,4,w
aleta,1,w
alethea,1,w
aletheia,2,w
aletta,1,w
alev,8,w
alew,1,m
alex,107,m
alex-antonio,1,m
alex-dean,1,m
alex-stefanut,1,m
alexa,34,w
alexa-maria,1,w
alexandar,4,m
alexander,2261,m
alexander-andrea,1,m
alexander-lukjan,1,m
alexanderovič,1,m
alexandir,1,m
alexandr,6,m
alexandra,387,w
alexandra-christin,1,w
alexandra-izabela,1,w
alexandre,17,m
alexandrea,2,w
alexandria,2,w
alexandrina,4,w
alexandrine,1,w
alexandro,5,m
alexandros,18,m
alexandrovič,9,m
alexandrovna,9,w
alexandru,22,m
alexandrá,1,w
alexandrè,1,m
alexeević,1,m
alexeevič,3,m
alexeevna,2,w
alexei,1,m
alexej,14,m
alexejevna,1,w
alexey,4,m
alexeyeuna,1,w
alexeyevich,2,m
alexeyevič,1,m
alexeyevna,1,w
alexia,27,w
alexie,1,m
alexiina,1,w
alexio,1,m
alexios,2,m
alexis,106,m
alexis-jordan,1,w
alexis-juliet,1,w
alexis-leonie,1,w
alexis-melina,1,w
alexis-sophie,1,w
alexovna,1,w
alexsander,1,m
alexsandra,2,w
alexsandro,2,m
alexsandru,1,m
alexseevna,1,w
alexzandra,1,w
aleya,1,w
aleyah,1,w
aleyda,2,w
aleydar,1,m
aleyna,91,w
aleyna-şükriye,1,w
alf,2,m
alfares,1,m
alfateh,1,m
alfeo,1,m
alferen,1,m
alfheri,1,m
alfie,5,m
alfina,1,w
alfons,36,m
alfonsina,1,w
alfonso,8,m
alfred,138,m
alfreda,3,w
alfredo,7,m
alfrenzo,1,m
alfrid,1,m
alfrèd,1,m
alganesh,1,w
algyunev,1,m
alhadi,3,m
alhakam,1,m
alhalim,1,m
alhanouf,1,w
alhassan,1,m
alheidis,1,w
alhuda,1,w
alhusein,1,m
ali,866,m
ali-akbar,1,m
ali-alakbar,1,m
ali-amir,2,m
ali-ares,1,m
ali-can,1,m
ali-efe,1,m
ali-elias,1,m
ali-eren,2,m
ali-esat,1,m
ali-haider,1,m
ali-hassan,1,m
ali-imran,1,m
ali-karar,1,m
ali-kayra,1,m
ali-kemal,1,m
ali-kerem,1,m
ali-merdan,1,m
ali-metin,1,m
ali-osman,1,m
ali-ramazan,1,m
ali-rida,1,m
ali-rıza,1,m
ali-said,1,m
ali-taha,1,m
ali-talib,1,m
alia,41,w
alia-nur,1,w
aliaa,1,w
aliah,7,w
aliaksandrovič,2,m
alialp,1,m
aliana,2,w
aliandra,1,w
alias,1,m
alica,17,w
alica-aylin,1,w
alica-sophie,1,w
alican,14,m
alicar,1,w
aliccia,1,w
alice,186,w
alice-alvina,1,w
alice-jean,1,w
alice-mabelle,1,w
alice-saphira,1,w
alicemal,1,m
alicha,2,w
alichan,1,m
alicia,139,w
alicia-adriana,1,w
alicia-lara,1,w
alicia-liou,1,w
alicia-maria,1,w
alicia-mary,1,w
alicia-palina,1,w
alicia-penelope,1,w
alicia-shayen,1,w
alicia-uzoamaka,1,w
alicina,1,w
alicio,1,m
alicja,46,w
alick,1,m
alico,2,m
aliczia,1,w
alida,11,w
aliece,1,w
aliekber,1,m
alien,3,w
aliena,3,w
alieren,1,m
aliesha,1,w
alieu,1,m
aliev,5,m
alieva,4,w
alievič,1,m
alif,2,m
alifa,1,w
aligan,1,m
aligül,1,m
aliha,1,w
alihan,6,m
alihandro,1,m
alihaydar,1,m
alihsan,1,m
alija,7,m
alijana,1,w
alijandra,1,w
alijandro,4,m
alijano,1,m
alik,2,m
alika,3,w
alikaan,2,m
alikan,2,m
alikberowitsch,1,m
alikhan,2,m
aliki,4,m
aliko,1,m
alim,18,m
alima,6,w
alime,2,w
alimert,1,m
alimou,1,m
alimu,1,m
alin,17,w
alina,400,w
alina-cesslyn,1,w
alina-fabienné,1,w
alina-joline,1,w
alina-maria,1,w
alina-marie,2,w
alina-marija,1,w
alina-mevlida,1,w
alina-sophie,2,w
alina-viktoria,1,w
alina-zoey,1,w
aline,15,w
alinov,2,m
aliosman,2,m
aliou,3,m
alireza,2,m
alirida,1,m
aliriza,2,m
alis,1,w
alisa,91,w
alisaar,1,w
alisan,2,m
alisar,7,w
alise,2,w
alisha,48,w
alisha-leonie,1,w
alishba,1,w
alisher,1,m
alisia,8,w
alisija,2,w
alisija-selina,1,w
alisina,1,m
alison,6,w
alison-haley,1,w
alissa,79,w
alissala,1,w
alissar,4,w
alissia,8,w
alisso,1,m
alisson,1,w
alissya,1,w
alistair,1,m
alister,2,m
alisya,1,w
alit,1,m
aliumar,1,m
alix,5,w
aliya,70,w
aliya-belis,1,w
aliya-kimbaly,1,w
aliya-taliya,1,w
aliyaah,1,w
aliyah,76,w
aliyahya,1,m
aliye,5,w
aliyna-sıla,1,w
aliyu,4,m
aliz,1,w
aliza,9,w
alizia,1,w
alizée,5,w
aliçan,1,m
alié,1,w
aliénor,1,w
alişa,1,w
alişha,1,w
alișia,1,w
alja,4,w
aljaili,2,w
aljesa,1,w
aljona,7,w
aljori,1,w
aljoscha,27,m
aljosha,4,m
aljoud,1,m
aljoša,2,m
aljthel,1,w
alkader,1,m
alkarem,1,m
alkarim,1,m
alkazim,1,m
alke,1,w
alkebulan,1,m
alketa,1,w
alkin,1,w
alkinova,1,w
alla,5,w
allah,6,m
allan,14,m
allanah,1,w
allegra,19,w
allegria,1,w
allen,9,w
alleria,1,w
alli,1,m
allia,1,w
allicia,1,w
allin,1,w
allira,1,w
allisa,1,w
allisha,1,w
allison,5,w
allister,1,m
alliyah,1,w
alljah,1,m
ally,2,w
allyson,1,w
alma,430,w
alma-linnea,1,w
